"ISO3","country","year","svyCode","svyL1Cd","svyL1Nm","prttyNm","lastYear","rn","MPOV08_PT190","FPOV08_PT190","MPOV08_PT310","FPOV08_PT310","MPOV08_GAP190","FPOV08_GAP190","MPOV08_GAP310","FPOV08_GAP310","MPOV08_SEV190","FPOV08_SEV190","MPOV08_SEV310","FPOV08_SEV310","MPOV08_SD190","FPOV08_SD190","MPOV08_SD310","FPOV08_SD310","MPOV08_PN190","FPOV08_PN190","MPOV08_PN310","FPOV08_PN310","MPOV08_PCEXP","FPOV08_PCEXP","MPOV08_FOOD","FPOV08_FOOD","MPOV08_NFOOD","FPOV08_NFOOD","MPOV08_GINI","FPOV08_GINI","PN08_MAL","PN08_FEM","UPOV08_PT190","RPOV08_PT190","UPOV08_PT310","RPOV08_PT310","UPOV08_GAP190","RPOV08_GAP190","UPOV08_GAP310","RPOV08_GAP310","UPOV08_SEV190","RPOV08_SEV190","UPOV08_SEV310","RPOV08_SEV310","UPOV08_SD190","RPOV08_SD190","UPOV08_SD310","RPOV08_SD310","UPOV08_PN190","RPOV08_PN190","UPOV08_PN310","RPOV08_PN310","UPOV08_PCEXP","RPOV08_PCEXP","UPOV08_FOOD","RPOV08_FOOD","UPOV08_NFOOD","RPOV08_NFOOD","UPOV08_GINI","RPOV08_GINI","PN08_URB","PN08_RUR","TPOV08_PT190","TPOV08_PT310","TPOV08_GAP190","TPOV08_GAP310","TPOV08_SEV190","TPOV08_SEV310","TPOV08_SD190","TPOV08_SD310","TPOV08_PN190","TPOV08_PN310","TPOV08_PCEXP","TPOV08_FOOD","TPOV08_NFOOD","TPOV08_GINI","PN08_TOT"
"AGO","Angola",2008,"ago2008",1,"Cabinda","Cabinda",TRUE,"ago2008.1",0.0632934272289276,0.0424315445125103,0.325548261404037,0.321164578199387,0.00999999232590199,0.0117405317723751,0.0806436464190483,0.0797501429915428,0.0022561214864254,0.00376784265972674,0.0276669636368752,0.0277429316192865,0.243490412831306,0.201573118567467,0.468580156564713,0.466927379369736,17902.3976135254,2828.29522705078,92080.5642089844,21407.3808822632,165.037826538086,137.163436889648,85.7497024536133,77.7013702392578,79.2881164550781,59.4620666503906,0.376530915498734,0.302163571119308,282847.651809692,66655.4836769104,0.0978336557745934,0.020017646253109,0.448302805423737,0.198624730110168,0.0152592146769166,0.00530511606484652,0.118448667228222,0.0417305901646614,0.00337647600099444,0.00169557251501828,0.0417017824947834,0.0133778629824519,0.297090440988541,0.140060886740685,0.497321635484695,0.398966014385223,17267.561340332,3463.13150024414,79125.084312439,34362.8607788086,127.685386657715,192.405380249023,76.8850173950195,91.6925964355469,50.8003692626953,100.712776184082,0.33172333240509,0.364350646734238,176499.199367523,173003.93611908,0.0593147538602352,0.324712246656418,0.0103319389745593,0.0804732441902161,0.00254442938603461,0.0276814512908459,0.236213192343712,0.468267887830734,20730.6928405762,113487.945091248,159.721755981445,84.2147674560547,75.5069961547852,0.366596281528473,349503.135486603
"AGO","Angola",2008,"ago2008",10,"Huambo","Huambo",TRUE,"ago2008.10",0.502133667469025,0.433624863624573,0.801435589790344,0.797028064727783,0.123328916728497,0.13994075357914,0.332770317792892,0.332797020673752,0.0425234287977219,0.0633620768785477,0.167641967535019,0.17800997197628,0.499995678663254,0.495575994253159,0.398919433355331,0.402212798595428,522727.673988342,86188.9747180939,834304.843989372,158420.416991711,81.2636795043945,78.7527160644531,45.7757797241211,48.4056282043457,35.4878959655762,30.3470878601074,0.363452404737473,0.362492918968201,1041012.94009399,198763.910943508,0.581544101238251,0.250430941581726,0.864091753959656,0.63199371099472,0.154519274830818,0.0500243604183197,0.380857765674591,0.204728960990906,0.0563325770199299,0.0179873537272215,0.19891132414341,0.0904602631926537,0.493306010961533,0.433261841535568,0.342691272497177,0.482263773679733,524156.016809464,84760.6318969727,778821.235310078,213904.025671005,66.4762268066406,119.168106079102,40.9298706054688,60.2248611450195,25.5463581085205,58.943244934082,0.300936341285706,0.40131002664566,901317.731458187,338459.119579315,0.491150200366974,0.800728976726532,0.12599216401577,0.332774579524994,0.0458643287420273,0.169304192066193,0.499921888113022,0.399452388286591,608916.648706436,992725.260981083,80.8611145019531,46.1974029541016,34.6637115478516,0.363791644573212,1239776.8510375
"AGO","Angola",2008,"ago2008",11,"Bie","Bie",TRUE,"ago2008.11",0.643719494342804,0.653445482254028,0.83974552154541,0.800648152828217,0.248719587922096,0.213949412107468,0.443489611148834,0.421070277690887,0.122977420687675,0.0985056906938553,0.271671891212463,0.247572898864746,0.478899836540222,0.475873440504074,0.366842150688171,0.399513989686966,441442.926906586,140719.96805191,575871.527332306,172420.181934357,64.6497421264648,64.6051406860352,42.4181137084961,44.8822288513184,22.2316284179688,19.7229118347168,0.403474688529968,0.358872383832932,685769.075685501,215350.746569872,0.681774199008942,0.510815560817719,0.855512499809265,0.735366761684418,0.251922100782394,0.196841076016426,0.458646357059479,0.360490649938583,0.119802549481392,0.107011094689369,0.277775436639786,0.221015974879265,0.465787976980209,0.499884337186813,0.351583629846573,0.44113889336586,485958.873840332,96204.0211181641,609797.028091431,138494.681175232,60.0178413391113,82.129035949707,41.8803024291992,47.2711524963379,18.1375389099121,34.8578796386719,0.369880557060242,0.43730953335762,712785.660903931,188334.161351442,0.646043837070465,0.830402016639709,0.240410163998604,0.438131809234619,0.117129132151604,0.265912681818008,0.478196054697037,0.375279456377029,582162.894958496,748291.709266663,64.6390838623047,43.0069885253906,21.6320915222168,0.39356592297554,901119.822255373
"AGO","Angola",2008,"ago2008",12,"Moxico","Moxico",TRUE,"ago2008.12",0.274499535560608,0.232440054416656,0.577395617961884,0.629375517368317,0.0713692307472229,0.0762506276369095,0.222379758954048,0.22402323782444,0.0271518565714359,0.03567049279809,0.106569513678551,0.10909640789032,0.446262389421463,0.422390252351761,0.493974298238754,0.482974529266357,95558.5819091797,22340.6225891113,201002.553436279,60491.471206665,97.3715667724609,92.6808776855469,60.0093994140625,63.3123741149902,37.3621635437012,29.3685035705566,0.321652382612228,0.305937767028809,348119.28364563,96113.481086731,0.340414941310883,0.144039556384087,0.678360104560852,0.443495482206345,0.0967991575598717,0.0329933539032936,0.273393303155899,0.140780702233315,0.039906308054924,0.0113424761220813,0.136586084961891,0.0594397895038128,0.473849594593048,0.351130872964859,0.467106461524963,0.496798455715179,93456.1575622559,24443.0469360352,186234.28074646,75259.7438964844,85.1429595947266,114.498306274414,59.9359893798828,61.998908996582,25.2069721221924,52.499397277832,0.314957797527313,0.301086783409119,274536.005378723,169696.759353638,0.265399605035782,0.588641941547394,0.072425365447998,0.222735330462456,0.0289949346333742,0.107116229832172,0.441546261310577,0.492080450057983,117899.204498291,261494.024642944,96.3566970825195,60.7240257263184,35.6326675415039,0.318896770477295,444232.764732361
"AGO","Angola",2008,"ago2008",13,"Kuando Kubango","Kuando Kubango",TRUE,"ago2008.13",0.369300723075867,0.417044669389725,0.756543159484863,0.675844669342041,0.117630034685135,0.161299467086792,0.293633818626404,0.314651519060135,0.0509031154215336,0.0705431178212166,0.15110419690609,0.1790971159935,0.482616513967514,0.493073791265488,0.429169446229935,0.468061596155167,86170.7637176514,30394.1410827637,176527.945274353,49255.4401245117,86.8236999511719,90.9794082641602,54.383716583252,58.238655090332,32.4399871826172,32.7407493591309,0.366695642471313,0.416661232709885,233334.939228058,72879.8203735352,0.397451162338257,0.338341027498245,0.744189381599426,0.720060229301453,0.130433797836304,0.121946662664413,0.303580850362778,0.286169618368149,0.0554884672164917,0.0558018982410431,0.160401880741119,0.151122629642487,0.489371865987778,0.47314789891243,0.436316877603531,0.448971927165985,87141.1304626465,29423.7743377686,163163.45640564,62619.9289932251,86.949348449707,89.9895629882812,53.9546890258789,58.6959342956543,32.9946594238281,31.2936325073242,0.379576116800308,0.380834102630615,219249.913864136,86964.8457374573,0.380663901567459,0.737336695194244,0.128023460507393,0.298636078834534,0.0555774793028831,0.157766580581665,0.485550880432129,0.440081715583801,116564.904800415,225783.385398865,87.8127670288086,55.3012008666992,32.5115699768066,0.380282819271088,306214.759601593
"AGO","Angola",2008,"ago2008",14,"Namibe","Namibe",TRUE,"ago2008.14",0.318114459514618,0.222266003489494,0.560132026672363,0.519352793693542,0.0772489979863167,0.0623505525290966,0.21788415312767,0.180529147386551,0.0266115255653858,0.0248165540397167,0.106838166713715,0.0857903808355331,0.465745180845261,0.41577285528183,0.496372014284134,0.499630033969879,75045.7383766174,11832.3783226013,132139.601781845,27647.8590583801,127.199684143066,136.631622314453,69.7344665527344,74.2395401000977,57.4652137756348,62.3920783996582,0.446711212396622,0.422918379306793,235907.967026234,53235.2152252197,0.408188730478287,0.130558058619499,0.718960464000702,0.290260523557663,0.0961802825331688,0.0403189994394779,0.275590449571609,0.109138078987598,0.031656302511692,0.0178026258945465,0.133672118186951,0.054525300860405,0.491499811410904,0.336917877197266,0.449508011341095,0.453884571790695,72231.0485687256,14647.0681304932,127223.665328979,32563.7955112457,98.7698135375977,176.517883300781,61.0203094482422,85.6170959472656,37.7495079040527,90.9007949829102,0.406795084476471,0.411005973815918,176955.022720337,112188.159531116,0.30046746134758,0.552623987197876,0.0745059847831726,0.211006581783295,0.0262810457497835,0.102962985634804,0.458462089300156,0.497223854064941,86878.1166992188,159787.460840225,128.936233520508,70.5639114379883,58.3723182678223,0.442925781011581,289143.182251453
"AGO","Angola",2008,"ago2008",15,"Huila","Huila",TRUE,"ago2008.15",0.343068212270737,0.250568181276321,0.672546744346619,0.488065004348755,0.0953720360994339,0.0472928583621979,0.252611488103867,0.179033324122429,0.0368421748280525,0.0178424809128046,0.126495122909546,0.0815687105059624,0.474734216928482,0.433340966701508,0.469284325838089,0.499858379364014,477575.042037964,73039.8325080872,936232.294841766,142269.416599274,103.482154846191,130.763458251953,56.8438949584961,76.5687484741211,46.6382598876953,54.194709777832,0.403476059436798,0.393806368112564,1392070.25303078,291496.85442543,0.411973387002945,0.260057777166367,0.802742600440979,0.512693583965302,0.0971483886241913,0.0790788158774376,0.299260377883911,0.193020045757294,0.0360175520181656,0.0316078402101994,0.142903044819832,0.099635474383831,0.492190659046173,0.438666075468063,0.397928535938263,0.499839127063751,305870.739105225,244744.135440826,595998.391326904,482503.320114136,77.0470504760742,132.787017822266,52.6566276550293,66.2567596435547,24.3904228210449,66.5302581787109,0.291357010602951,0.428562015295029,742452.673431396,941114.434024811,0.327052533626556,0.640605092048645,0.0870474949479103,0.239871993660927,0.0335525199770927,0.118716463446617,0.469136774539948,0.479823231697083,550614.874546051,1078501.71144104,108.205703735352,60.259105682373,47.9466018676758,0.405630201101303,1683567.10745621
"AGO","Angola",2008,"ago2008",16,"Cunene","Cunene",TRUE,"ago2008.16",0.233537882566452,0.237219616770744,0.525575339794159,0.448228687047958,0.0590411685407162,0.0546630173921585,0.182587116956711,0.172031551599503,0.0192190688103437,0.0185261201113462,0.0847607105970383,0.0811362564563751,0.423082172870636,0.4253790974617,0.499346286058426,0.497313767671585,72129.4703979492,47135.8525085449,162326.868621826,89063.6315460205,134.881698608398,139.536544799805,67.5238647460938,72.0204696655273,67.3578338623047,67.5160751342773,0.416963398456573,0.430997222661972,308855.554859161,198701.325927734,0.281118869781494,0.0219077132642269,0.56775289773941,0.160687863826752,0.0689752325415611,0.00353683764114976,0.20997479557991,0.0328962095081806,0.0228404458612204,0.000971616769675165,0.0991893634200096,0.0101581448689103,0.449545919895172,0.146383062005043,0.495388865470886,0.367244839668274,117286.065338135,1979.25756835938,236873.116210938,14517.3839569092,116.370719909668,230.602508544922,65.0323867797852,88.919059753418,51.3383293151855,141.683441162109,0.399504333734512,0.372858881950378,417211.639160156,90345.2416267395,0.234979227185249,0.495295226573944,0.0573271848261356,0.178454756736755,0.0189477875828743,0.0833417922258377,0.423986256122589,0.499978363513947,119265.322906494,251390.500167847,136.704010009766,69.2842254638672,67.4197845458984,0.423438310623169,507556.880786896
"AGO","Angola",2008,"ago2008",17,"Lunda Sul","Lunda Sul",TRUE,"ago2008.17",0.561460375785828,0.431605905294418,0.812820076942444,0.701571524143219,0.18844772875309,0.178828567266464,0.389123737812042,0.331391453742981,0.0853027850389481,0.0841516181826591,0.22090870141983,0.195003375411034,0.496209114789963,0.495313853025436,0.390056610107422,0.457581132650375,158468.036209106,7801.14595031738,229412.44965744,12680.6935577393,66.7179183959961,87.2263641357422,45.441349029541,59.4284782409668,21.276575088501,27.797887802124,0.337524384260178,0.409247100353241,282242.604448318,18074.6974372864,0.717157781124115,0.255256831645966,0.916387319564819,0.60491019487381,0.260576575994492,0.05518713966012,0.483408808708191,0.20725105702877,0.120962888002396,0.0200323034077883,0.289387971162796,0.0915391594171524,0.450381577014923,0.436007529497147,0.276806831359863,0.488872289657593,139132.267990112,27136.9141693115,177783.815322876,64309.3278923035,52.936897277832,95.353141784668,42.6918869018555,52.8367576599121,10.2450084686279,42.5163841247559,0.310474336147308,0.295162618160248,194005.107292175,106312.19459343,0.553645014762878,0.80612450838089,0.187868803739548,0.385649085044861,0.0852335020899773,0.219349592924118,0.497114717960358,0.395333141088486,166269.182159424,242093.143215179,67.9522323608398,46.2831687927246,21.6690616607666,0.344746232032776,300317.301885605
"AGO","Angola",2008,"ago2008",18,"Bengo","Bengo",TRUE,"ago2008.18",0.322867274284363,0.109376519918442,0.661848068237305,0.562846481800079,0.0690611749887466,0.0156794730573893,0.223985180258751,0.126100227236748,0.0243684519082308,0.00464882934466004,0.104417011141777,0.0438029319047928,0.467573434114456,0.312115997076035,0.473081529140472,0.496042490005493,77669.3252372742,3432.38514709473,159214.940633774,17662.8940868378,99.4532470703125,128.37922668457,61.0197067260742,80.0090103149414,38.433536529541,48.3702125549316,0.345049023628235,0.330311149358749,240561.159118176,31381.371301651,0.350667983293533,0.109023600816727,0.689925611019135,0.507888853549957,0.0737346559762955,0.023810438811779,0.241020888090134,0.11046190559864,0.0261009112000465,0.00763068301603198,0.112468294799328,0.0431321337819099,0.477180272340775,0.3116714656353,0.462524890899658,0.499942004680634,74668.0516357422,6433.65874862671,146906.493286133,29971.3414344788,96.7317428588867,124.655548095703,64.3339462280273,59.1591606140137,32.3977928161621,65.4963912963867,0.350292950868607,0.307980924844742,212930.913574219,59011.6168456078,0.298231065273285,0.650423586368561,0.0629010871052742,0.21268954873085,0.0220928657799959,0.0974223241209984,0.457482308149338,0.476837068796158,81101.7103843689,176877.834720612,102.791213989258,63.2110176086426,39.5802001953125,0.346810698509216,271942.530419827
